num_context_statements,num_predicates,reasoning_steps,original_answer,num_edits
16,17,9,False,7
11,11,6,False,7
9,9,6,True,7
11,12,7,True,7
13,13,6,False,7
13,13,7,True,7
15,17,10,True,7
9,9,6,False,7
14,14,7,False,7
14,14,7,True,7
11,12,7,True,7
14,15,8,True,7
12,13,7,True,7
14,14,8,True,7
15,17,9,False,7
16,16,8,True,7
8,8,6,False,7
14,14,7,False,7
10,12,7,True,7
12,12,7,False,7
13,13,7,False,7
14,14,7,True,7
16,16,10,True,7
11,11,8,True,7
13,13,7,False,7
16,17,9,False,7
13,14,8,False,7
14,14,8,True,7
16,16,8,True,7
11,12,7,False,7
14,15,8,False,7
12,12,6,True,7
19,19,10,True,7
12,15,8,True,7
15,15,9,True,7
11,12,7,True,7
14,14,9,True,7
10,11,7,False,7
17,17,9,Uncertain,7
11,11,7,True,7
15,16,8,False,7
17,17,10,False,7
9,9,6,False,7
11,11,7,True,7
15,16,9,False,7
17,17,9,True,7
10,10,6,False,7
11,11,6,True,7
12,12,6,True,7
10,11,6,True,7
11,11,6,False,7
13,13,7,False,7
14,14,8,False,7
10,11,6,False,7
14,14,8,True,7
9,11,6,False,7
14,16,9,True,7
12,12,6,True,7
14,13,7,False,7
11,11,7,True,7
15,15,8,False,7
12,12,7,True,7
11,11,8,False,7
13,13,8,True,7
13,14,8,True,7
14,14,7,True,7
13,13,7,True,7
13,14,7,False,7
9,10,6,True,7
10,10,7,True,7
16,17,9,False,7
14,15,9,True,7
12,12,7,False,7
13,13,6,False,7
10,10,6,True,7
14,15,8,False,7
11,11,6,True,7
15,15,10,Uncertain,7
17,17,9,False,7
13,14,7,True,7
10,10,6,True,7
14,15,9,True,7
10,11,6,True,7
13,13,8,True,7
14,14,9,False,7
13,13,6,True,7
13,14,8,False,7
19,18,10,False,7
16,16,9,True,7
12,12,8,False,7
14,14,8,True,7
12,12,7,True,7
15,15,9,False,7
13,15,8,True,7
12,12,6,False,7
12,14,7,True,7
15,15,9,False,7
15,15,8,True,7
11,12,7,False,7
16,17,8,False,7
12,13,7,False,7
18,18,9,False,7
13,13,7,False,7
17,17,9,False,7
12,12,8,True,7
12,12,7,True,7
13,14,7,True,7
13,13,7,True,7
15,17,9,True,7
9,10,7,True,7
11,12,6,False,7
15,15,8,False,7
16,16,9,False,7
14,14,9,False,7
15,15,8,True,7
15,15,9,False,7
12,12,6,True,7
15,16,10,True,7
14,14,7,False,7
9,9,6,False,7
13,13,7,False,7
11,11,6,False,7
10,10,7,True,7
13,13,7,False,7
14,14,8,True,7
11,11,7,False,7
14,14,9,False,7
11,11,6,True,7
11,11,6,False,7
13,15,8,False,7
16,16,10,False,7
12,12,7,True,7
16,17,9,False,7
12,12,7,False,7
12,12,7,False,7
15,15,9,True,7
14,14,8,True,7
12,12,6,True,7
14,14,7,True,7
13,14,8,False,7
11,11,6,True,7
9,9,6,False,7
18,18,10,False,7
11,11,7,False,7
13,13,7,True,7
12,12,7,True,7
13,13,7,True,7
15,15,8,False,7
13,13,9,False,7
18,18,9,True,7
12,12,7,True,7
11,12,7,False,7
13,13,7,True,7
15,15,9,False,7
16,16,8,False,7
10,10,6,False,7
13,13,7,True,7
14,14,8,True,7
14,14,7,False,7
15,16,8,False,7
13,13,8,False,7
14,14,7,False,7
9,10,6,True,7
10,10,6,False,7
17,17,9,False,7
14,14,7,True,7
13,13,7,False,7
15,15,9,True,7
14,14,8,False,7
11,11,6,True,7
12,12,7,True,7
12,12,6,True,7
12,12,7,False,7
13,13,7,True,7
14,15,9,True,7
14,14,7,True,7
12,12,7,True,7
12,12,6,True,7
14,15,9,False,7
14,14,7,False,7
12,13,7,True,7
15,15,9,False,7
14,14,9,True,7
10,10,6,True,7
14,14,7,False,7
11,12,7,True,7
11,13,7,False,7
13,13,8,False,7
9,10,6,True,7
11,11,6,True,7
13,14,7,True,7
14,14,7,True,7
10,10,6,False,7
15,15,9,False,7
15,16,9,True,7
12,12,7,False,7
14,15,7,True,7
15,16,9,False,7
9,10,6,False,7
15,15,9,True,7
10,10,6,False,7
11,11,7,False,7
16,18,9,True,7
15,15,8,False,7
11,11,8,True,7
10,10,6,True,7
13,14,7,True,7
10,11,6,False,7
15,15,8,False,7
16,18,10,False,7
18,18,9,True,7
14,14,8,False,7
14,14,7,False,7
12,13,7,False,7
13,13,6,True,7
11,13,6,True,7
15,15,9,True,7
17,17,10,False,7
16,16,9,True,7
14,15,9,True,7
14,15,10,True,7
12,13,8,False,7
13,13,8,False,7
15,15,9,False,7
9,11,6,True,7
13,14,8,False,7
14,14,8,True,7
11,11,6,True,7
13,13,7,False,7
10,10,6,True,7
12,12,6,False,7
12,12,8,True,7
13,14,7,True,7
11,12,8,False,7
12,13,7,False,7
13,13,7,True,7
11,12,7,False,7
12,13,7,False,7
15,15,8,False,7
19,19,9,False,7
15,16,9,True,7
14,14,8,False,7
13,13,9,True,7
15,16,9,True,7
10,12,6,False,7
13,13,7,False,7
15,15,8,False,7
11,11,6,False,7
12,13,7,True,7
12,13,7,True,7
12,12,6,True,7
15,16,9,True,7
12,12,6,True,7
13,15,8,False,7
17,17,9,True,7
16,17,9,False,7
12,12,7,False,7
14,14,9,False,7
13,14,7,True,7
14,15,8,False,7
10,10,6,True,7
12,12,7,True,7
15,17,9,True,7
11,11,6,True,7
16,16,8,False,7
10,10,6,True,7
12,12,8,False,7
10,10,6,False,7
12,12,7,False,7
10,11,6,False,7
11,11,6,False,7
12,13,9,False,7
13,13,7,False,7
14,14,8,True,7
16,16,9,False,7
13,13,7,True,7
13,13,7,True,7
10,10,7,False,7
13,14,9,True,7
15,16,8,False,7
11,11,6,False,7
11,13,6,True,7
17,18,9,False,7
15,15,8,True,7
16,16,8,False,7
10,10,6,False,7
11,11,6,False,7
14,14,7,False,7
15,15,8,True,7
10,10,6,False,7
11,11,6,True,7
13,13,8,True,7
10,12,7,True,7
12,14,8,False,7
9,9,6,False,7
11,11,6,True,7
15,15,9,False,7
13,13,7,False,7
9,9,6,False,7
13,13,6,True,7
14,14,8,False,7
19,19,9,True,7
14,14,8,True,7
10,10,6,False,7
17,18,9,True,7
10,10,6,False,7
14,14,8,True,7
10,11,6,True,7
10,10,6,True,7
14,14,8,True,7
13,13,8,True,7
15,15,8,True,7
10,11,6,False,7
14,15,7,True,7
12,13,8,False,7
15,16,9,False,7
10,10,6,False,7
13,15,7,True,7
12,12,7,False,7
12,12,7,False,7
17,17,10,True,7
12,12,6,False,7
8,8,6,True,7
16,16,8,True,7
9,9,7,True,7
13,15,7,True,7
10,10,6,False,7
11,11,6,False,7
12,12,7,False,7
16,16,9,True,7
13,13,6,False,7
15,16,8,False,7
17,17,9,True,7
13,13,7,True,7
16,17,9,False,7
9,9,6,False,7
16,16,9,False,7
8,8,6,False,7
14,14,7,False,7
12,13,7,True,7
16,16,8,True,7
14,15,8,True,7
15,15,9,True,7
15,15,8,False,7
14,14,9,True,7
11,11,6,True,7
13,14,7,False,7
12,12,7,True,7
15,15,8,True,7
12,12,6,True,7
13,13,6,True,7
11,11,8,True,7
11,11,6,True,7
11,11,7,True,7
14,14,8,False,7
15,16,8,False,7
12,12,8,False,7
16,17,9,True,7
16,16,9,False,7
15,15,10,False,7
12,12,8,Uncertain,7
12,14,7,False,7
16,16,9,True,7
10,11,6,False,7
16,16,8,False,7
14,14,7,True,7
14,15,8,False,7
15,15,8,True,7
15,16,8,False,7
17,17,9,False,7
14,15,7,False,7
13,13,7,True,7
11,11,6,True,7
14,15,7,True,7
12,12,7,True,7
10,11,6,True,7
10,10,7,False,7
10,10,6,False,7
12,12,7,False,7
17,19,9,False,7
13,13,7,True,7
10,11,7,False,7
15,15,9,True,7
13,13,8,True,7
12,12,7,True,7
10,11,6,True,7
11,11,6,True,7
11,11,7,True,7
14,16,8,True,7
13,13,7,True,7
15,15,8,False,7
11,12,6,False,7
13,13,6,False,7
12,12,9,True,7
14,14,8,False,7
12,12,7,False,7
18,17,9,False,7
11,11,6,True,7
9,9,6,False,7
15,15,9,True,7
9,9,6,True,7
16,16,10,False,7
13,14,7,True,7
13,13,8,False,7
15,15,9,False,7
13,13,8,False,7
9,9,6,True,7
15,16,9,False,7
12,12,6,False,7
11,11,6,True,7
8,10,6,True,7
13,13,7,True,7
13,13,7,True,7
14,14,9,True,7
12,14,8,False,7
9,9,6,True,7
15,15,9,True,7
13,13,8,True,7
14,14,8,True,7
11,12,6,True,7
11,11,6,True,7
15,16,9,True,7
11,11,6,False,7
13,13,8,False,7
16,16,9,True,7
13,13,8,False,7
13,13,7,True,7
10,10,7,True,7
11,11,6,False,7
11,12,8,True,7
14,14,7,True,7
13,13,7,False,7
17,17,8,True,7
14,14,7,True,7
10,10,6,True,7
13,14,8,False,7
18,18,9,True,7
11,11,6,False,7
15,16,9,True,7
14,14,7,True,7
15,15,9,False,7
10,10,6,False,7
10,10,6,True,7
12,12,7,False,7
13,13,8,True,7
13,13,7,True,7
10,10,6,True,7
12,12,8,False,7
13,14,7,False,7
12,12,7,False,7
12,12,6,False,7
10,10,6,False,7
15,15,9,False,7
11,12,6,False,7
14,14,8,False,7
13,13,8,True,7
16,17,8,True,7
16,16,9,Uncertain,7
11,13,7,True,7
12,13,7,False,7
16,17,8,False,7
11,12,7,False,7
12,12,7,False,7
14,15,8,False,7
13,12,7,False,7
16,17,9,False,7
14,15,8,False,7
13,13,7,True,7
12,12,7,False,7
11,12,7,True,7
13,13,9,False,7
15,15,8,False,7
14,14,8,False,7
8,8,6,False,7
8,9,6,True,7
14,15,9,False,7
11,12,6,True,7
14,14,8,False,7
18,18,9,True,7
14,14,9,False,7
13,13,7,False,7
16,16,8,True,7
12,12,7,True,7
15,17,9,False,7
12,13,7,False,7
10,10,6,False,7
11,14,7,True,7
15,15,8,False,7
12,12,7,False,7
15,15,9,True,7
10,10,6,True,7
15,15,8,False,7
17,17,10,False,7
16,16,9,False,7
14,15,9,True,7
16,16,9,True,7
11,12,6,True,7
15,15,8,True,7
11,11,6,False,7
11,12,7,False,7
12,12,7,False,7
9,11,6,True,7
10,11,6,False,7
11,12,7,False,7
15,15,8,False,7
16,16,8,False,7
15,15,9,False,7
12,13,8,False,7
13,14,8,False,7
11,11,6,False,7
12,12,7,True,7
10,10,6,True,7
12,12,7,False,7
11,11,6,False,7
15,15,7,False,7
18,18,9,True,7
11,11,6,True,7
14,14,9,True,7
11,11,6,True,7
13,13,6,False,7
15,15,8,False,7
12,12,7,False,7
12,13,8,True,7
12,12,7,False,7
16,17,9,False,7
15,16,9,False,7
13,13,8,True,7
18,18,9,False,7
13,15,9,True,7
12,13,8,False,7
14,14,9,True,7
16,16,9,False,7
14,14,8,False,7
15,15,8,True,7
16,16,8,True,7
14,14,8,False,7
15,15,9,False,7
10,10,6,True,7
16,16,9,True,7
13,13,7,False,7
9,10,7,True,7
18,19,10,False,7
15,16,8,False,7
14,14,8,True,7
14,16,8,False,7
10,11,6,True,7
16,16,9,True,7
12,13,8,False,7
16,16,8,False,7
11,11,6,True,7
13,15,7,False,7
14,14,8,False,7
12,12,6,False,7
14,14,7,True,7
13,14,8,False,7
13,13,6,False,7
16,17,9,True,7
12,13,7,False,7
13,13,8,False,7
15,15,9,False,7
9,9,6,True,7
13,13,7,False,7
10,11,6,False,7
15,17,9,True,7
15,17,9,False,7
16,16,9,True,7
13,13,9,True,7
13,14,8,False,7
12,12,6,True,7
10,10,6,True,7
10,10,6,True,7
12,12,6,True,7
9,9,6,True,7
11,11,6,False,7
11,12,7,False,7
12,12,7,True,7
18,18,9,True,7
12,12,6,False,7
11,11,7,True,7
15,15,7,True,7
13,14,8,True,7
12,13,7,False,7
12,14,9,False,7
14,15,8,False,7
11,11,6,False,7
14,14,8,False,7
12,13,7,True,7
15,15,9,False,7
12,13,6,False,7
13,13,7,False,7
10,11,6,True,7
19,19,10,False,7
13,13,7,False,7
10,10,7,True,7
14,14,8,False,7
12,13,7,False,7
16,16,9,False,7
9,9,6,True,7
11,11,6,False,7
12,13,7,False,7
13,13,7,False,7
12,12,7,False,7
11,10,7,False,7
9,9,6,False,7
14,16,9,False,7
15,15,8,False,7
15,16,9,False,7
15,15,9,True,7
12,12,8,False,7
11,13,7,True,7
12,13,7,False,7
16,16,9,True,7
15,15,7,True,7
11,12,7,False,7
16,16,9,False,7
15,15,8,False,7
15,15,9,True,7
13,14,9,True,7
10,10,6,False,7
19,19,9,True,7
13,15,8,True,7
11,11,6,True,7
13,14,7,False,7
14,15,9,False,7
10,10,6,True,7
11,11,7,True,7
15,16,9,True,7
17,17,10,False,7
15,15,9,True,7
14,15,9,False,7
15,15,8,True,7
14,13,9,True,7
15,17,9,False,7
11,12,7,False,7
14,14,8,False,7
10,10,6,True,7
16,16,9,False,7
16,16,8,True,7
19,19,9,False,7
13,13,8,False,7
13,13,9,True,7
11,12,7,True,7
12,12,6,False,7
11,11,6,True,7
12,13,7,False,7
14,14,7,True,7
15,16,9,False,7
16,17,9,True,7
14,13,8,False,7
18,18,9,False,7
11,11,7,False,7
12,12,6,True,7
12,12,7,False,7
13,14,7,False,7
13,13,8,False,7
17,17,10,False,7
15,16,8,False,7
10,11,6,True,7
14,14,8,False,7
13,13,7,False,7
12,13,7,False,7
14,14,8,True,7
13,14,8,True,7
9,9,6,True,7
9,9,6,False,7
11,11,6,False,7
13,13,8,False,7
15,15,8,False,7
12,12,7,True,7
11,11,6,False,7
16,17,8,True,7
13,13,7,True,7
15,15,8,True,7
15,16,9,False,7
10,10,6,True,7
13,13,7,True,7
14,14,7,False,7
13,13,7,False,7
10,10,7,False,7
13,13,7,True,7
14,14,7,True,7
15,15,9,True,7
14,14,7,True,7
9,11,7,False,7
12,12,7,True,7
17,18,10,True,7
11,11,7,False,7
15,15,8,True,7
13,13,8,False,7
14,16,9,False,7
14,15,9,False,7
13,13,7,True,7
14,14,8,False,7
15,15,9,True,7
14,14,7,True,7
14,15,9,True,7
10,10,6,False,7
10,10,6,True,7
15,16,8,False,7
14,14,8,False,7
11,11,6,False,7
12,13,6,True,7
15,15,7,False,7
11,12,6,False,7
12,12,6,True,7
18,19,9,True,7
16,17,9,True,7
11,12,7,True,7
9,9,6,True,7
11,11,6,False,7
12,12,6,True,7
16,16,8,False,7
10,10,6,False,7
10,10,7,False,7
14,14,7,False,7
16,16,8,False,7
14,14,8,False,7
13,12,7,True,7
13,15,8,False,7
16,17,9,False,7
18,19,10,False,7
15,16,9,True,7
13,14,8,True,7
15,15,9,False,7
12,13,7,False,7
16,17,9,True,7
12,13,7,False,7
14,15,8,False,7
12,12,6,False,7
12,13,7,True,7
14,14,8,False,7
13,13,8,True,7
15,15,9,True,7
15,15,8,False,7
9,10,6,True,7
12,12,8,False,7
12,12,6,False,7
13,13,8,False,7
15,16,9,True,7
8,8,7,False,7
14,14,8,True,7
12,12,7,False,7
13,14,7,True,7
13,13,7,False,7
15,15,10,False,7
14,14,9,True,7
16,16,9,True,7
13,13,7,True,7
11,11,7,True,7
14,15,8,True,7
14,14,8,True,7
12,12,7,False,7
13,14,7,True,7
12,13,6,True,7
16,16,10,False,7
11,12,6,True,7
14,15,9,True,7
13,13,7,False,7
16,17,8,False,7
13,13,8,False,7
12,12,7,True,7
13,13,8,False,7
12,12,7,False,7
18,18,9,True,7
11,11,6,True,7
12,12,7,True,7
15,18,9,True,7
12,12,7,True,7
12,12,7,True,7
11,12,8,False,7
11,11,6,False,7
11,11,6,False,7
12,12,7,False,7
15,15,9,False,7
17,17,9,True,7
10,10,6,False,7
11,11,7,False,7
10,10,6,True,7
15,16,8,True,7
12,12,8,False,7
13,13,6,True,7
10,11,6,True,7
15,16,8,False,7
14,15,8,False,7
11,11,7,False,7
15,16,8,False,7
13,13,9,False,7
12,13,8,True,7
16,17,9,False,7
16,16,8,False,7
13,13,7,False,7
14,14,9,True,7
12,12,6,True,7
13,13,7,True,7
14,14,7,True,7
12,14,7,True,7
13,13,6,False,7
10,10,6,True,7
14,14,9,True,7
9,9,6,True,7
12,12,8,False,7
